image_no,r_knee_angle,l_knee_angle,l_foot_angle,r_foot_angle,r_ankle_angle,l_ankle_angle,l_hip_angle,r_hip_angle,r_shoulder_angle,l_shoulder_angle,label
1,150.418458853431,135.568856272952,125.160260826073,111.827977340812,258.163359712603,278.792741110594,119.412801892289,297.292898859352,333.942580219382,109.230696974448,1
2,152.019459122846,123.719538098727,115.645916664099,99.3675396367281,252.67258148086,259.454888281008,137.807154679995,298.500779151803,306.858514996479,108.51454272239,1
3,152.029768985995,123.719448707444,115.672303406039,99.3712374450828,252.669032300491,259.457120753287,137.803215555092,298.492864705769,306.842959467799,108.511472105596,1
4,129.946856070125,147.053080043267,129.831284042982,101.386057458193,263.147145885507,276.27483683659,260.868207359292,139.68121187522,272.697878760458,187.425921994137,1
5,129.944052867763,147.053257827978,129.838934583473,101.36565612607,263.122975095079,276.273749672869,260.870179338503,139.684427781543,272.735555305849,188.618574850701,1
6,139.899968899857,134.553915987062,115.072226336683,105.534858482155,272.047972432784,273.826441533503,272.506647170186,127.257616848785,251.946068539726,159.177450103656,1
7,139.899866329501,133.90536562168,115.056291843172,105.158269782713,271.659540055924,274.519789803088,272.444452500567,127.257562698333,251.944511832665,159.140325441437,1
8,147.517645381918,114.235163025802,105.107988527416,108.634592100978,267.023052537936,253.04202317152,266.117661432508,119.115015893183,245.124894329112,117.443223279574,1
9,133.99429672199,89.8503674725458,119.839842403216,115.550854601525,260.855765464674,254.06317987182,241.209293681976,94.0648385378705,235.263450512631,150.203886231854,1
10,133.996635630541,89.8494042534645,119.849924655852,115.575337789871,260.876911313698,254.059317268155,241.217024248978,94.0710104832455,233.808780932384,150.19930660052,1
11,128.196667945122,68.2208702005232,119.743128652526,134.275649774333,265.559083889661,274.598634707822,268.010309139378,92.6701063259221,263.823063130807,127.528988224581,1
12,108.22840356177,85.5487049694619,129.035190872261,122.547833720842,263.015860194876,275.38028907407,240.978391562026,103.19980356848,15.1546899051054,168.413422930277,1
13,107.875374799864,85.5501570341686,129.022675545143,111.740152194185,260.400805908642,275.372476409433,240.936518382984,103.167122596609,359.513983685779,168.391797727543,1
14,133.265627956171,144.783046941673,126.850280691143,131.710349244256,263.533325490773,255.974988525786,147.000898991692,324.945633636219,9.13413758213815,170.585731085264,1
15,133.259840138992,144.782104854211,126.845437239657,130.925093799752,262.750426890525,255.976271565988,146.96343090152,323.075213162157,9.11104812652433,173.185849446756,1
16,138.54214153664,168.845954310826,109.939375877629,143.514180478554,268.097511783015,246.579294552221,246.56817351635,101.828481137216,26.6813886343511,209.394378346571,1
17,138.543299541611,168.044625812678,100.154114706887,143.519053284793,268.102467777599,245.817532108815,246.60649343386,101.830871666412,26.7036717110887,209.409192534004,1
18,134.819875848128,163.25366240972,90.3383964284799,138.320649288939,266.98666629132,258.952229579363,119.540459859415,311.602350976115,54.9585782245608,210.676138436597,1
19,134.81808515271,163.253199730618,82.4742746571873,138.295010000664,266.972428424931,258.965914248191,119.539722336479,311.603402294876,54.9488753907819,210.672960847675,1
20,142.073677819199,162.97349913683,120.041925341578,138.338363248192,261.274259629583,254.016991167143,151.22150691549,268.359409091617,53.3564708812882,176.494090548265,1
21,142.074844600145,162.97316633502,120.038855787843,142.375793505101,265.318391530534,254.015505932306,151.222203875072,268.357990459069,53.3675801094232,176.506546980475,1
22,142.075490576309,162.973862177561,120.039822478144,142.384471473405,265.317321689751,254.012132775713,151.223587930288,268.354615657914,53.3680297057978,176.513271029109,1
23,143.607407673725,148.781152395087,115.957310515277,137.836300834613,259.555583709865,263.8991189433,132.34402103605,300.667867123947,36.4472570989332,147.988742657695,1
24,143.61611943861,148.774437943831,115.958880386003,130.278568931026,259.591865195234,263.89212714836,132.352521824159,300.678164399909,36.4503147536995,147.995803739651,1
25,143.60183389014,149.237836022973,124.752731099058,108.822475369858,255.897847742352,271.866063291916,119.947126123117,294.14084185698,7.98139914745362,107.864453788295,1
26,143.602069714508,149.238575371319,124.739536058919,108.804870719169,255.902545560989,271.86892647519,119.941137696221,294.139408744089,7.97893958316581,107.866641975581,1
27,150.413094429743,135.561339748646,125.135865618744,111.829891739497,258.164072084998,278.792688528788,119.415244579547,297.29661514705,330.197047791035,109.225764529343,1
28,135.871272076787,108.239612327229,107.255515827304,82.951670554961,249.176530589898,275.162772551646,124.671485262177,270.404327747216,58.0149206102886,228.807517691236,1
29,135.872490173789,107.460109607463,99.6202848108791,82.953912610909,249.164021386827,273.882712518998,124.656377976652,270.408262173115,58.0115025703974,228.808347594097,1
30,123.452826322417,113.862702714705,149.986105361819,135.724031128,287.365036583,290.299118701311,259.910067874713,93.1063282671576,73.8370697879713,238.24077635549,1
31,124.334760729118,113.855258533817,149.987130508243,135.690087409764,286.3212393687,290.299748281518,259.977621754816,136.664285463198,73.834905492493,238.230641382846,1
32,95.8238642608847,117.832500774003,133.390995725525,124.862976535403,264.835507521007,286.609202295032,266.165926323773,115.165647751735,7.11671886057729,163.929321343851,1
33,96.4342510062975,117.841921773576,133.392657489068,124.851512397804,264.828533992474,286.601364523099,266.185091123008,88.8178946587655,7.11492539515665,163.915590044532,1
34,89.6780678758306,119.21904339366,136.925794691387,133.978132434254,267.013439559643,290.61452000761,254.595061307367,127.703202341161,340.562988625621,157.963769352384,1
35,89.6919225384422,118.979484085338,136.915852240994,124.789833958458,266.999317064083,290.596023373879,237.291658340852,127.698881513983,340.575883700071,157.990643691264,1
36,90.0353007605694,124.183301743173,132.714316119155,115.345722555935,270.888929085613,292.529827934868,257.960183360302,119.179841570351,333.14493524273,181.885840043805,1
37,90.0326580564916,124.179110935722,132.707663676378,109.144785777023,268.905446064817,292.526322693976,257.971272655181,119.180630806767,333.156896336533,181.894396905038,1
38,96.8755352822668,132.215970433118,132.64090277263,105.927433634992,258.275166436378,292.370669217273,254.742716196252,137.527605564274,239.399417082581,146.567846117542,1
39,96.8776232845702,132.213537818309,132.660467399004,105.911601972606,258.259960366412,292.367723114361,254.745736392461,137.531546653445,240.932901048899,145.154743989592,1
40,107.704992336698,142.84577774257,140.692834014471,105.843990365484,273.23351879185,287.043390282478,259.749805001282,141.530082256337,258.362790557705,147.954415814975,1
41,107.7044081241,142.844732438714,140.679775954955,105.844814845211,273.233619242736,287.034820440644,259.751944373572,141.530993294524,258.36259097564,147.948880376071,1
42,126.672219347693,141.975047065793,113.211729079072,115.042836420169,271.90810453517,266.6787367486,231.776084332326,130.082897544482,238.796745183234,169.836421686336,1
43,126.676693617194,141.973129124124,113.207234822797,115.065821337218,271.920935169507,266.67623351246,231.783464928378,130.086706607824,238.784270399404,169.831139218593,1
44,138.684436676748,133.727626719684,122.338318963547,121.412612717956,278.902071999506,251.062785297748,243.419357530503,120.721875340407,215.553817399824,159.043755521444,1
45,200.639525635721,214.321814738219,238.003851854969,262.317284951995,111.018678537651,102.23213300123,227.816278661005,104.439522904565,34.170420106218,255.919836548992,1
46,229.762787973301,195.823488150773,263.390564531164,261.502014992531,127.799404248784,106.653716399342,231.86204828461,99.8114610989208,164.522063497751,83.2904228350364,1
47,229.766394941386,195.821629117111,263.388170684944,261.502846356831,127.797125180697,106.653209582333,231.867373523181,99.8113265026225,165.968906576375,83.2953759185445,1
48,229.765423120589,195.820905816603,263.39416155426,261.494886040187,127.791331590867,106.658274763437,231.866925159401,99.8103131678283,165.975591006087,83.3031801932704,1
49,229.770664803932,195.821691521124,263.393466747697,261.494944767009,127.793039806697,106.656492098134,231.866548718929,99.8093486956124,165.979822103501,80.3310083948248,1
50,269.038505084558,200.067872175602,248.207981858081,250.531835228641,123.943637782955,109.286691108959,244.634226650688,87.8811823705381,70.1395278339755,279.819183565945,1
51,269.036239048707,200.065396054397,248.215878312301,250.527189527803,123.950220147093,109.281638444108,244.638106803805,87.8826593406655,70.161127073908,279.825116588041,1
52,216.238311719577,209.125742262538,230.040348774754,249.193525591195,99.5910767139058,105.431399884284,279.577500801902,91.6406330715788,158.578635236888,350.27622655424,1
53,216.245501068456,208.456733313948,230.022689808483,251.684303752186,99.5672921410452,105.434931552684,319.782854522545,91.6628968850749,158.594328699916,350.285558511175,1
54,307.676467156126,227.903931774749,247.476491087537,279.572748459159,101.322920208924,98.1613854676355,309.488695022163,130.991694636416,184.058121323986,142.898054771323,1
55,309.816034787775,228.737138778639,247.460838015781,288.136417425633,99.099864025131,98.1368734552272,308.702329513669,131.049215458631,184.081345269907,142.912109423508,1
56,213.521966201579,215.615826425686,253.873021625666,242.871794759099,91.7870717005142,106.468600227584,78.4562989626288,226.530311702025,191.464522822736,348.493159640787,1
57,213.520017282375,215.608418930601,253.86908159087,242.884654604147,91.7818703455331,106.472748142207,78.4583815613302,226.52100786177,191.458448243977,348.484820188132,1
58,189.089062088491,209.792023811238,254.140757072129,295.623663103707,143.453716635815,110.932609790525,86.1738505606278,225.978619466518,183.56358995768,279.46430248488,1
59,189.091110449531,209.791556905959,254.139025635616,298.182916398101,145.973226209752,110.926506908254,86.1773000453655,225.981166109861,183.564498387579,279.458420618708,1
