image_no,nose_x,nose_y,nose_score,neck_x,neck_y,neck_score,right_shoulder_x,right_shoulder_y,right_shoulder_score,right_elbow_x,right_elbow_y,right_elbow_score,right_wrist_x,right_wrist_y,right_wrist_score,left_shoulder_x,left_shoulder_y,left_shoulder_score,left_elbow_x,left_elbow_y,left_elbow_score,left_wrist_x,left_wrist_y,left_wrist_score,mid_hip_x,mid_hip_y,mid_hip_score,right_hip_x,right_hip_y,right_hip_score,right_knee_x,right_knee_y,right_knee_score,right_ankle_x,right_ankle_y,right_ankle_score,left_hip_x,left_hip_y,left_hip_score,left_knee_x,left_knee_y,left_knee_score,left_ankle_x,left_ankle_y,left_ankle_score,right_eye_x,right_eye_y,right_eye_score,left_eye_x,left_eye_y,left_eye_score,right_ear_x,right_ear_y,right_ear_score,left_ear_x,left_ear_y,left_ear_score,left_bigtoe_x,left_bigtoe_y,left_bigtoe_score,left_smalltoe_x,left_smalltoe_y,left_smalltoe_score,left_heel_x,left_heel_y,left_heel_score,right_bigtoe_x,right_bigtoe_y,right_bigtoe_score,right_smalltoe_x,right_smalltoe_y,right_smalltoe_score,right_heel_x,right_heel_y,right_heel_score,label
0,1207.1202,397.80096,0.29885986,1254.2659,441.96524,0.8632759,1266.1757,433.21143,0.85569406,1230.7856,500.83066,0.56530976,1171.8705,503.82,0.80509347,1236.5663,453.79218,0.8690383,1257.1282,533.1831,0.8925648,1274.9572,603.8994,0.8523249,1210.1832,571.44824,0.8274852,1227.8263,574.5565,0.8090527,1171.9835,647.90204,0.90077084,1157.247,756.85443,0.83219635,1189.6996,559.7425,0.77126414,1115.8635,603.82855,0.9215949,1086.4852,715.5872,0.85137665,0,0,0,1210.0234,389.02325,0.3928355,1257.3871,388.95764,0.1413411,1219.0726,392.026,0.7862841,1039.4622,695.1205,0.83049935,1042.4324,709.7525,0.8239118,1089.5507,730.4694,0.81536674,1115.986,759.8365,0.6855003,1121.9038,756.9405,0.5696203,1163.0072,768.68463,0.8505086,1
1,1210.1005,389.1438,0.15757838,1257.1144,439.1513,0.89022166,1277.7787,436.0467,0.8952647,1239.6698,506.78027,0.4447628,1186.6089,512.6244,0.80725425,1233.7727,447.89636,0.86402494,1236.6871,530.35864,0.9077784,1248.4161,603.9819,0.8339471,1210.1006,574.4599,0.85053694,1230.6809,577.51276,0.7730072,1177.737,647.92896,0.875395,1160.1104,759.7506,0.86814517,1189.528,571.40405,0.8082033,1118.9657,618.54144,0.93136823,1119.0133,730.4019,0.85985005,0,0,0,1210.2507,386.08182,0.266765,1260.3185,388.9228,0.20585418,1221.9779,388.98764,0.8640626,1071.9423,739.18506,0.78841054,1083.583,742.2701,0.781622,1127.7347,742.31146,0.83233434,1119.0585,765.7903,0.26764017,1130.6992,765.7488,0.1731742,1162.9615,768.66437,0.9010062,1
2,1210.1062,389.14435,0.1600515,1257.1146,439.15045,0.89023304,1277.7777,436.04886,0.89531046,1239.6755,506.7933,0.44720992,1186.6107,512.62695,0.80939096,1233.7739,447.89374,0.86369103,1236.6885,530.35895,0.9068183,1248.4176,603.9784,0.8341273,1210.0986,574.4539,0.8504258,1230.6732,577.5053,0.77366954,1177.7388,647.9334,0.8754443,1160.1113,759.7516,0.8680637,1189.5289,571.39813,0.80785537,1118.9668,618.5407,0.9308193,1119.0204,730.4039,0.85855174,0,0,0,1210.2582,386.09015,0.26988402,1260.3195,388.92468,0.2043195,1221.9885,388.99335,0.8641618,1071.9573,739.1863,0.7880176,1083.6018,742.2739,0.78186977,1127.7506,742.3136,0.83248454,1119.0558,765.7939,0.26554012,1130.6897,765.7512,0.17135626,1162.9631,768.66406,0.9013214,1
3,321.31747,212.46964,0.8732063,315.25296,283.052,0.8771585,256.61676,280.09167,0.8084036,209.43304,362.48294,0.8895775,221.19875,453.67593,0.88681895,362.6526,283.0396,0.88062143,365.54108,347.8559,0.81681395,386.1068,362.49323,0.8955585,315.41925,453.66266,0.85568225,277.21603,453.80716,0.76433563,291.70447,574.4043,0.9330603,256.60443,698.08325,0.80993724,344.87595,447.8979,0.79446685,397.78717,553.84534,0.89700043,365.36392,668.4874,0.931588,312.40442,200.75632,0.92545795,333.06757,200.69212,0.91461056,286.03378,221.15202,0.91967505,338.97775,221.12907,0.06641474,409.72122,689.2585,0.8844942,409.53516,680.37555,0.8078352,344.93402,671.7029,0.81133723,288.8716,739.14465,0.86936253,268.21075,739.1323,0.8132888,247.66023,712.8036,0.7803927,1
4,506.75232,294.8915,0.9313588,456.608,309.46008,0.88300884,436.0695,300.73322,0.8712483,418.48434,365.35873,0.9144567,483.2667,409.67484,0.91634285,471.42877,309.57773,0.81105226,462.66998,365.40024,0.8680838,506.72104,371.37903,0.8565621,421.39597,436.05997,0.8185717,409.53473,436.0464,0.8474618,456.636,539.13464,0.889059,388.9617,651.0467,0.86665195,436.08853,436.0976,0.8497141,483.1717,544.9736,0.88007635,377.1989,600.89575,0.82113755,506.73407,288.90515,0.91652495,0,0,0,483.33368,271.30197,0.94131625,0,0,0,397.81723,642.0775,0.2835855,400.8109,627.4189,0.21228512,356.57217,600.82477,0.7577035,433.19775,671.5905,0.89070004,418.40244,674.5612,0.80311096,368.4882,665.71735,0.80790293,1
5,506.75085,294.89487,0.9312159,456.608,309.4595,0.8829865,436.07086,300.7324,0.87122977,418.48547,365.3585,0.9142499,483.26712,409.67557,0.9163444,471.42755,309.5781,0.8109712,462.67053,365.39954,0.8679122,506.72125,371.37845,0.856362,421.39813,436.05856,0.8185294,409.53674,436.04535,0.8476156,456.6368,539.1358,0.88907653,388.96048,651.04694,0.8664657,436.08932,436.0955,0.84970003,483.16962,544.9727,0.8800172,377.1953,600.89526,0.8209042,506.73544,288.90915,0.9171591,0,0,0,483.3413,271.3027,0.93944526,0,0,0,397.8156,642.07825,0.28313664,400.80856,627.41925,0.21147817,356.56946,600.82495,0.7574161,433.19583,671.59375,0.8901861,418.39987,674.5643,0.80291116,368.48663,665.71686,0.8078356,1
6,527.25793,294.89975,0.933968,462.6979,303.71234,0.7265714,459.8136,306.54144,0.8583572,474.31015,362.62256,0.88452274,539.1026,391.97855,0.8631713,471.36285,303.68735,0.6127004,477.32983,371.41052,0.08601282,0,0,0,436.03268,439.0594,0.8664103,418.5235,439.054,0.79300076,456.58044,550.77405,0.93567777,388.96896,653.90234,0.86059064,453.69174,439.1013,0.7995053,506.73514,530.37897,0.8897205,412.62317,606.84955,0.7762382,527.2513,288.88748,0.88968194,0,0,0,503.79993,271.22803,0.96754605,0,0,0,453.71835,642.1476,0.8679965,450.84506,633.285,0.80482996,388.93774,606.8444,0.5847591,433.1301,674.56006,0.79623824,415.55008,683.30646,0.6961967,368.41217,665.68,0.83023226,1
7,527.2637,294.89462,0.93433136,462.69705,303.71182,0.72713816,459.81232,306.54034,0.8586587,474.31085,362.6231,0.884725,539.112,391.9797,0.86264795,471.3643,303.6886,0.61286795,477.33633,371.41928,0.08645517,0,0,0,436.03598,439.06082,0.86583096,421.34576,439.06375,0.79282564,456.57904,550.77435,0.93541193,388.96866,653.9026,0.8604248,453.6939,439.1028,0.7996789,506.7282,530.38007,0.89018935,412.6162,606.8409,0.77544767,527.25336,288.87857,0.88803095,0,0,0,503.79843,271.22943,0.9668233,0,0,0,453.7101,642.14557,0.86314994,450.8359,633.2844,0.7996246,388.9298,606.83234,0.58512485,433.13715,674.552,0.79775697,415.56174,683.3001,0.69632304,368.4106,665.6812,0.83097786,1
8,547.8204,291.9468,0.91441333,486.15457,297.75552,0.7815991,483.08636,294.7923,0.91441417,506.68146,347.8349,0.90759623,580.371,377.1952,0.82895786,497.89447,300.74097,0.6584685,527.21466,365.46176,0.26744968,574.4046,368.44696,0.21562004,453.65173,436.07178,0.8506206,433.24524,436.05142,0.8546602,456.71646,547.8363,0.8996005,388.89914,653.8929,0.8727718,462.64435,436.11075,0.8440004,533.23816,515.5969,0.84268266,462.67654,612.6965,0.83187157,542.1038,280.0991,0.8264341,0,0,0,521.4246,268.38312,0.8969657,0,0,0,515.5794,642.1888,0.80048,506.8783,633.30975,0.7236465,450.76324,621.4795,0.8204352,435.99356,671.6604,0.86892974,418.39264,677.4293,0.7851516,368.39502,668.474,0.84851456,1
9,545.04535,291.9474,0.91343325,486.15353,297.75504,0.7823195,483.08456,294.793,0.9137931,506.6884,347.84232,0.90725553,580.3906,377.18845,0.82850564,497.89636,300.73816,0.66109437,527.20337,365.46585,0.29054055,574.4502,371.30942,0.24841762,453.64972,436.07343,0.8500326,433.24503,436.05292,0.85479677,456.71454,547.83875,0.8998517,388.89755,653.88916,0.87310386,462.64142,436.11246,0.84408253,533.2251,515.6095,0.8433091,462.6736,612.6936,0.831862,542.1017,280.09973,0.82576627,0,0,0,521.4223,268.3815,0.89654195,0,0,0,515.5678,642.1823,0.80210125,506.8697,633.30237,0.7269356,450.75888,621.47754,0.8194419,433.26865,671.65,0.8696681,415.61267,677.4221,0.7873007,368.38858,668.4675,0.8489575,1
